2-0001	0001-001天01	31	天01	大般若波羅蜜多經六百卷（001）	唐玄奘譯	大乘經/般若部
2-0002	0001-002天02	37	天02	大般若波羅蜜多經六百卷（002）	唐玄奘譯	大乘經/般若部
2-0003	0001-003天03	34	天03	大般若波羅蜜多經六百卷（003）	唐玄奘譯	大乘經/般若部
2-0004	0001-004天04	35	天04	大般若波羅蜜多經六百卷（004）	唐玄奘譯	大乘經/般若部
2-0005	0001-005天05	33	天05	大般若波羅蜜多經六百卷（005）	唐玄奘譯	大乘經/般若部
2-0006	0001-006天06	21	天06	大般若波羅蜜多經六百卷（006）	唐玄奘譯	大乘經/般若部
2-0007	0001-007天07	21	天07	大般若波羅蜜多經六百卷（007）	唐玄奘譯	大乘經/般若部
2-0008	0001-008天08	34	天08	大般若波羅蜜多經六百卷（008）	唐玄奘譯	大乘經/般若部
2-0009	0001-009天09	0	天09	大般若波羅蜜多經六百卷（009）	唐玄奘譯	大乘經/般若部
2-0010	0001-010天10	34	天10	大般若波羅蜜多經六百卷（010）	唐玄奘譯	大乘經/般若部
2-0011	0001-011地01	37	地01	大般若波羅蜜多經六百卷（011）	唐玄奘譯	大乘經/般若部
2-0012	0001-012地02	34	地02	大般若波羅蜜多經六百卷（012）	唐玄奘譯	大乘經/般若部
2-0013	0001-013地03	34	地03	大般若波羅蜜多經六百卷（013）	唐玄奘譯	大乘經/般若部
2-0014	0001-014地04	34	地04	大般若波羅蜜多經六百卷（014）	唐玄奘譯	大乘經/般若部
2-0015	0001-015地05	34	地05	大般若波羅蜜多經六百卷（015）	唐玄奘譯	大乘經/般若部
2-0016	0001-016地06	34	地06	大般若波羅蜜多經六百卷（016）	唐玄奘譯	大乘經/般若部
2-0017	0001-017地07	33	地07	大般若波羅蜜多經六百卷（017）	唐玄奘譯	大乘經/般若部
2-0018	0001-018地08	37	地08	大般若波羅蜜多經六百卷（018）	唐玄奘譯	大乘經/般若部
2-0019	0001-019地09	34	地09	大般若波羅蜜多經六百卷（019）	唐玄奘譯	大乘經/般若部
2-0020	0001-020地10	39	地10	大般若波羅蜜多經六百卷（020）	唐玄奘譯	大乘經/般若部
2-0021	0001-021玄01	38	玄01	大般若波羅蜜多經六百卷（021）	唐玄奘譯	大乘經/般若部
2-0022	0001-022玄02	38	玄02	大般若波羅蜜多經六百卷（022）	唐玄奘譯	大乘經/般若部
2-0023	0001-023玄03	31	玄03	大般若波羅蜜多經六百卷（023）	唐玄奘譯	大乘經/般若部
2-0024	0001-024玄04	33	玄04	大般若波羅蜜多經六百卷（024）	唐玄奘譯	大乘經/般若部
2-0025	0001-025玄05	33	玄05	大般若波羅蜜多經六百卷（025）	唐玄奘譯	大乘經/般若部
2-0026	0001-026玄06	33	玄06	大般若波羅蜜多經六百卷（026）	唐玄奘譯	大乘經/般若部
2-0027	0001-027玄07	0	玄07	大般若波羅蜜多經六百卷（027）	唐玄奘譯	大乘經/般若部
2-0028	0001-028玄08	35	玄08	大般若波羅蜜多經六百卷（028）	唐玄奘譯	大乘經/般若部
2-0029	0001-029玄09	34	玄09	大般若波羅蜜多經六百卷（029）	唐玄奘譯	大乘經/般若部
2-0030	0001-030玄10	34	玄10	大般若波羅蜜多經六百卷（030）	唐玄奘譯	大乘經/般若部
2-0031	0001-031黃01	0	黃01	大般若波羅蜜多經六百卷（031）	唐玄奘譯	大乘經/般若部
2-0032	0001-032黃02	36	黃02	大般若波羅蜜多經六百卷（032）	唐玄奘譯	大乘經/般若部
2-0033	0001-033黃03	33	黃03	大般若波羅蜜多經六百卷（033）	唐玄奘譯	大乘經/般若部
2-0034	0001-034黃04	34	黃04	大般若波羅蜜多經六百卷（034）	唐玄奘譯	大乘經/般若部
2-0035	0001-035黃05	34	黃05	大般若波羅蜜多經六百卷（035）	唐玄奘譯	大乘經/般若部
2-0036	0001-036黃06	36	黃06	大般若波羅蜜多經六百卷（036）	唐玄奘譯	大乘經/般若部
2-0037	0001-037黃07	38	黃07	大般若波羅蜜多經六百卷（037）	唐玄奘譯	大乘經/般若部
2-0038	0001-038黃08	39	黃08	大般若波羅蜜多經六百卷（038）	唐玄奘譯	大乘經/般若部
2-0039	0001-039黃09	36	黃09	大般若波羅蜜多經六百卷（039）	唐玄奘譯	大乘經/般若部
2-0040	0001-040黃10	33	黃10	大般若波羅蜜多經六百卷（040）	唐玄奘譯	大乘經/般若部
2-0041	0001-041宇01	42	宇01	大般若波羅蜜多經六百卷（041）	唐玄奘譯	大乘經/般若部
2-0042	0001-042宇02	0	宇02	大般若波羅蜜多經六百卷（042）	唐玄奘譯	大乘經/般若部
2-0043	0001-043宇03	34	宇03	大般若波羅蜜多經六百卷（043）	唐玄奘譯	大乘經/般若部
2-0044	0001-044宇04	0	宇04	大般若波羅蜜多經六百卷（044）	唐玄奘譯	大乘經/般若部
2-0045	0001-045宇05	37	宇05	大般若波羅蜜多經六百卷（045）	唐玄奘譯	大乘經/般若部
2-0046	0001-046宇06	0	宇06	大般若波羅蜜多經六百卷（046）	唐玄奘譯	大乘經/般若部
2-0047	0001-047宇07	34	宇07	大般若波羅蜜多經六百卷（047）	唐玄奘譯	大乘經/般若部
2-0048	0001-048宇08	0	宇08	大般若波羅蜜多經六百卷（048）	唐玄奘譯	大乘經/般若部
2-0049	0001-049宇09	0	宇09	大般若波羅蜜多經六百卷（049）	唐玄奘譯	大乘經/般若部
2-0050	0001-050宇10	0	宇10	大般若波羅蜜多經六百卷（050）	唐玄奘譯	大乘經/般若部
2-0051	0001-051宙01	33	宙01	大般若波羅蜜多經六百卷（051）	唐玄奘譯	大乘經/般若部
2-0052	0001-052宙02	37	宙02	大般若波羅蜜多經六百卷（052）	唐玄奘譯	大乘經/般若部
2-0053	0001-053宙03	36	宙03	大般若波羅蜜多經六百卷（053）	唐玄奘譯	大乘經/般若部
2-0054	0001-054宙04	35	宙04	大般若波羅蜜多經六百卷（054）	唐玄奘譯	大乘經/般若部
2-0055	0001-055宙05	37	宙05	大般若波羅蜜多經六百卷（055）	唐玄奘譯	大乘經/般若部
2-0056	0001-056宙06	35	宙06	大般若波羅蜜多經六百卷（056）	唐玄奘譯	大乘經/般若部
2-0057	0001-057宙07	34	宙07	大般若波羅蜜多經六百卷（057）	唐玄奘譯	大乘經/般若部
2-0058	0001-058宙08	32	宙08	大般若波羅蜜多經六百卷（058）	唐玄奘譯	大乘經/般若部
